row_pf,x_pf,T_pf,p_pf,row_air,x_air,T_air,row_wall,x_wall,T_w_h,T_w_c,alpha_pf,q_cell,T_pf_out,Q_total,mdot_vec,dp_pf,dp_air
0,0.0,333.10999999999996,1000000.0,0,1.0,304.96945369201137,0,1.0,316.95833775420977,316.3157474889098,1126.8014131094696,1787.0245360663155,298.15180181991167,14680.72769136519,0.05033305234319493,475.85818572249264,84.8113628756652
0,2.0,324.61875912316407,999965.1656687077,0,3.0,302.8119237944818,0,3.0,311.78218641049955,311.3020429923028,1037.4477325966132,1335.2646556582397,,,0.05016694765685692,,
0,4.0,318.27043087436266,999929.3790965173,0,5.0,301.3654161173368,0,5.0,308.1040707473503,307.74369680510796,966.6544460769553,1002.1892829988734,,,0.050270590951012294,,
0,6.0,313.5042748462809,999892.7919571535,0,7.0,300.42281712035174,0,7.0,305.49681352868953,305.2256131683618,911.1929757258732,754.2001870060425,,,0.05022940904904395,,
0,8.0,309.9170458574022,999855.546492465,0,9.0,299.855191818532,0,9.0,303.668879522733,303.46510239361794,868.165529732093,566.6981737138651,,,,,
0,10.0,307.2215586445122,999817.7700630423,0,11.0,299.5881435901405,0,11.0,302.4270041830449,302.2753286453404,835.2072512571172,421.8051881304109,,,,,
0,12.0,305.2152903326183,999779.5742885097,1,1.0,301.06149347559057,1,1.0,314.68167107427934,313.9541180539466,1116.4524327219688,2023.3034468210294,,,,,
1,0.0,333.10999999999996,1000000.0,1,3.0,299.8916986862278,1,3.0,309.5104191849532,308.99683396419834,1016.6751746459452,1428.26532010221,,,,,
1,2.0,323.46375075211205,999965.2972232959,1,5.0,299.1735317732427,1,5.0,306.05925714739044,305.6916821093849,941.3670932493889,1022.2153171992433,,,,,
1,4.0,316.6502132100908,999929.5257890951,1,7.0,298.7732647744771,1,7.0,303.7469788890716,303.4814912052341,884.8905853523733,738.3134025259295,,,,,
1,6.0,311.7724313949846,999892.8932066126,1,9.0,298.61571544465323,1,9.0,302.21485711145226,302.02273149760214,842.7931130405467,534.2956542131357,,,,,
1,8.0,308.24905617025223,999855.5809090072,1,11.0,298.6655701950326,1,11.0,301.24449758315393,301.1068079036438,811.7723197971388,382.91092985599397,,,,,
1,10.0,305.6992986708694,999817.7416164996,2,1.0,296.63542318248733,2,1.0,297.401082660938,297.360255613071,722.3723851220524,113.5388138517733,,,,,
1,12.0,303.8720531133683,999779.502254115,2,3.0,296.76724217543693,2,3.0,297.72817918628584,297.67693941361733,731.5579298721519,142.49629385775455,,,,,
2,0.0,298.3107927605863,999534.3097151396,2,5.0,296.9373286290505,2,5.0,298.14570264574456,298.08126485930194,743.0304758486706,179.199580012296,,,,,
2,2.0,298.85129366390265,999573.9296347942,2,7.0,297.1581307819413,2,7.0,298.68134073327116,298.60010463262205,757.3707541345319,225.91519523562164,,,,,
2,4.0,299.5296824698946,999613.420173141,2,9.0,297.4469080730769,2,9.0,299.37260021974515,299.2698813138539,775.3104325904405,285.65824174100453,,,,,
2,6.0,300.3828570775772,999652.75053392,2,11.0,297.82795365646496,2,11.0,300.27083333508176,300.14049592107705,797.7716506948744,362.46449663253225,,,,,
2,8.0,301.4585161975147,999691.8828661342,3,1.0,296.3867688796459,3,1.0,297.1168311529987,297.0779165363732,716.6642354422968,108.22039908057465,,,,,
2,10.0,302.8187253319395,999730.7708214155,3,3.0,296.45533201634373,3,3.0,297.39677940225107,297.34659586109814,725.5831958483174,139.55894514485394,,,,,
2,12.0,304.5447752391687,999769.357949545,3,5.0,296.5451926317836,3,5.0,297.76366994051006,297.6987169824824,737.0412083185082,180.63225692780105,,,,,
3,0.0,297.99268279726437,999534.2921875841,3,7.0,296.6638517913653,3,7.0,298.24811443279174,298.16365852825646,751.797498221493,234.86937484050054,,,,,
3,2.0,298.50827260492593,999573.9261194697,3,9.0,296.8219816128271,3,9.0,298.8936486197695,298.7832022690866,770.859113584123,307.14803727503835,,,,,
3,4.0,299.173203340351,999613.4339955632,3,11.0,297.0350528624271,3,11.0,299.76337613217004,299.61790871011584,795.5695688817648,404.5406018549089,,,,,
3,6.0,300.0338822242031,999652.7813357882,4,1.0,296.15,,,,,,,,,,,
3,8.0,301.1530695829693,999691.9242216919,4,3.0,296.15,,,,,,,,,,,
3,10.0,302.61678678380173,999730.8067600682,4,5.0,296.15,,,,,,,,,,,
3,12.0,304.5447752391687,999769.357949545,4,7.0,296.15,,,,,,,,,,,
,,,,4,9.0,296.15,,,,,,,,,,,
,,,,4,11.0,296.15,,,,,,,,,,,
